verb		list	atpdwnv	ttpupv	tbdwnv	abupv	allacrh	tlracrh	trlacrh	arracrh		upwrd	dwnwrd	vert	left	right	horiz	toward	away
commend		1	1.40	0.13	0.00	1.93	1.33	0.20	0.00	0.50		2.07	1.40	3.47	1.33	0.70	2.03	0.33	5.17
compliment	2	0.72	0.00	0.13	1.53	2.88	0.09	0.06	1.69		1.53	0.84	2.38	2.94	1.78	4.72	0.28	6.81
condemn		2	0.04	0.00	0.00	0.06	0.04	0.01	0.00	0.02		0.06	0.04	0.14	0.04	0.02	0.06	0.01	0.16
confiscate	3	1.13	0.83	0.20	0.67	0.83	1.33	1.40	0.50		1.50	1.33	2.83	2.23	1.83	4.07	3.77	3.13
corrode		3	1.60	0.20	2.17	0.00	0.23	0.87	0.57	0.43		0.20	3.77	3.97	0.80	1.30	2.10	3.80	2.27
cough		3	0.63	0.27	0.50	0.60	2.33	0.67	0.67	1.33		0.87	1.13	2.00	3.00	2.00	5.00	2.10	4.90
cover		2	2.78	0.31	0.09	0.59	1.06	0.34	0.31	1.28		0.91	2.88	3.78	1.38	1.63	3.00	1.06	5.72
crave		1	1.20	0.00	0.10	2.27	1.93	0.20	0.23	0.97		2.27	1.30	3.57	2.17	1.17	3.33	0.53	6.37
crawl		2	0.22	0.13	0.19	0.34	3.13	0.44	1.09	1.38		0.47	0.41	0.88	4.22	1.81	6.03	1.84	5.06
cross		3	0.60	0.13	0.20	0.50	2.93	0.33	0.50	1.83		0.63	0.80	1.43	3.43	2.17	5.60	1.17	5.87
crumble		add	1.67	0.17	3.58	0.17	0.17	0.75	0.83	0.58		0.33	5.25	5.58	1.00	1.33	2.33	5.33	2.58
crush		3	3.93	0.00	0.00	0.30	0.80	0.00	0.00	0.77		0.30	3.93	4.23	0.80	0.77	1.57	0.00	5.80
cry		2	2.66	0.09	1.63	0.09	0.38	0.22	0.19	0.41		0.19	4.28	4.47	0.56	0.63	1.19	2.13	3.53
decay		1	2.37	0.10	2.97	0.00	0.10	0.43	0.10	0.27		0.10	5.33	5.43	0.20	0.70	0.90	3.60	2.73
decline		1	2.63	0.10	2.00	0.10	0.17	0.43	0.27	0.30		0.20	4.63	4.83	0.43	0.73	1.17	2.80	3.20
decrease	*	3.18	0.00	1.48	0.15	0.28	0.30	0.17	0.67		0.15	4.67	4.82	0.45	0.97	1.42	1.95	4.28
