verb		list	atpdwnv	ttpupv	tbdwnv	abupv	allacrh	tlracrh	trlacrh	arracrh		upwrd	dwnwrd	vert	left	right	horiz	toward	away
prevail		1	0.53	1.90	0.53	1.17	0.97	0.30	0.57	0.10		3.07	1.07	4.13	1.53	0.40	1.93	3.30	2.77
procure		1	0.83	0.37	0.27	0.77	1.80	0.70	0.27	1.30		1.13	1.10	2.23	2.07	2.00	4.07	1.60	4.70
promise		1	1.10	0.00	0.13	1.67	2.50	0.00	0.00	1.50		1.67	1.23	2.90	2.50	1.50	4.00	0.13	6.77
provoke		3	1.50	0.40	0.33	1.00	1.93	0.57	0.73	1.53		1.40	1.83	3.23	2.67	2.10	4.77	2.03	5.97
pull		2	0.47	1.56	1.19	0.34	0.59	1.72	1.88	0.66		1.91	1.66	3.56	2.47	2.38	4.84	6.34	2.06
punish		1	3.67	0.00	0.00	0.67	1.37	0.00	0.00	1.53		0.67	3.67	4.33	1.37	1.53	2.90	0.00	7.23
pursue		2	1.59	0.00	0.13	1.78	2.97	0.00	0.09	1.91		1.78	1.72	3.50	3.06	1.91	4.97	0.22	8.25
push		1	1.33	0.00	0.00	1.07	3.33	0.00	0.13	2.03		1.07	1.33	2.40	3.47	2.03	5.50	0.13	7.77
quit		3	0.73	0.93	1.27	0.27	0.63	1.30	1.73	0.83		1.20	2.00	3.20	2.37	2.13	4.50	5.23	2.47
race		1	0.13	0.27	0.17	0.40	3.53	0.10	0.87	0.60		0.67	0.30	0.97	4.40	0.70	5.10	1.40	4.67
raise		2	0.00	1.28	0.22	3.56	0.09	0.00	0.00	0.00		4.84	0.22	5.06	0.09	0.00	0.09	1.50	3.66
recede		2	0.34	0.13	0.91	0.25	0.78	1.78	0.75	1.63		0.38	1.25	1.63	1.53	3.41	4.94	3.56	3.00
receive		1	0.40	1.07	1.27	0.40	0.37	2.23	1.53	0.10		1.47	1.67	3.13	1.90	2.33	4.23	6.10	1.27
regret		3	1.43	0.40	0.50	0.97	0.70	0.57	0.33	0.83		1.37	1.93	3.30	1.03	1.40	2.43	1.80	3.93
rejoice		3	0.13	2.30	0.00	2.83	0.27	0.10	0.13	0.07		5.13	0.13	5.27	0.40	0.17	0.57	2.53	3.30
remain		2	0.44	0.97	2.19	0.25	0.44	0.66	1.31	0.44		1.22	2.63	3.84	1.75	1.09	2.84	5.13	1.56
remove		2	1.56	0.56	0.41	0.97	1.97	0.25	0.34	2.00		1.53	1.97	3.50	2.31	2.25	4.56	1.56	6.50
repel		2	1.50	0.13	0.41	1.31	2.22	0.31	0.50	2.00		1.44	1.91	3.34	2.72	2.31	5.03	1.34	7.03
report		2	1.69	0.13	0.13	0.94	2.25	0.25	0.53	1.53		1.06	1.81	2.88	2.78	1.78	4.56	1.03	6.41
reside		2	0.78	0.78	1.25	0.44	0.69	1.28	1.88	0.28		1.22	2.03	3.25	2.56	1.56	4.13	5.19	2.19
respect		1	0.17	0.13	0.40	2.83	0.93	0.37	0.03	1.10		2.97	0.57	3.53	0.97	1.47	2.43	0.93	5.03
rest		1	2.50	0.23	0.37	0.33	1.10	0.17	0.07	1.00		0.57	2.87	3.43	1.17	1.17	2.33	0.83	4.93
retrieve	1	1.37	0.50	0.40	0.53	1.03	0.97	0.80	1.23		1.03	1.77	2.80	1.83	2.20	4.03	2.67	4.17
return		1	0.63	0.80	0.53	0.23	0.80	1.73	0.63	1.83		1.03	1.17	2.20	1.43	3.57	5.00	3.70	3.50
revere		2	0.53	0.31	0.22	1.97	1.44	0.09	0.25	0.81		2.28	0.75	3.03	1.69	0.91	2.59	0.88	4.75
reward		1	2.33	0.20	0.03	1.77	2.47	0.07	0.10	1.00		1.97	2.37	4.33	2.57	1.07	3.63	0.40	7.57
rise		2	0.00	3.09	0.00	3.25	0.00	0.00	0.00	0.00		6.34	0.00	6.34	0.00	0.00	0.00	3.09	3.25
roam		1	0.57	0.00	0.33	1.13	2.47	0.77	0.93	1.67		1.13	0.90	2.03	3.40	2.43	5.83	2.03	5.83
rob		1	0.97	0.23	0.53	0.63	1.57	1.03	0.83	1.33		0.87	1.50	2.37	2.40	2.37	4.77	2.63	4.50
roll		1	0.53	0.00	0.67	0.10	2.37	1.20	2.33	0.70		0.10	1.20	1.30	4.70	1.90	6.60	4.20	3.70
rot		1	1.87	0.33	2.53	0.00	0.07	0.73	0.47	0.13		0.33	4.40	4.73	0.53	0.87	1.40	4.07	2.07
run		2	0.63	0.19	0.22	0.69	3.09	0.34	1.19	1.19		0.88	0.84	1.72	4.28	1.53	5.81	1.94	5.59
rush		1	0.67	0.27	0.23	0.60	3.33	0.33	0.87	1.07		0.87	0.90	1.77	4.20	1.40	5.60	1.70	5.67
rust		3	0.83	0.30	1.97	0.13	0.27	0.70	0.90	0.60		0.43	2.80	3.23	1.17	1.30	2.47	3.87	1.83
sadden		3	2.57	0.10	0.50	0.53	1.37	0.33	0.00	1.03		0.63	3.07	3.70	1.37	1.37	2.73	0.93	5.50
say		1	1.13	0.13	0.00	0.50	2.93	0.00	0.00	0.87		0.63	1.13	1.77	2.93	0.87	3.80	0.13	5.43
scare		2	1.97	0.00	0.06	1.28	2.13	0.13	0.00	1.72		1.28	2.03	3.31	2.13	1.84	3.97	0.19	7.09
see		3	1.97	0.20	0.10	1.67	2.93	0.07	0.03	1.80		1.87	2.07	3.93	2.97	1.87	4.83	0.40	8.37
sell		1	1.30	0.10	0.00	0.33	3.17	0.00	0.07	1.07		0.43	1.30	1.73	3.23	1.07	4.30	0.17	5.87
send		3	1.43	0.00	0.00	1.30	3.33	0.00	0.00	1.97		1.30	1.43	2.73	3.33	1.97	5.30	0.00	8.03
shame		2	2.53	0.28	0.03	1.00	1.00	0.31	0.19	1.28		1.28	2.56	3.84	1.19	1.59	2.78	0.81	5.81
show		1	1.10	0.13	0.27	0.87	2.73	0.30	0.13	1.60		1.00	1.37	2.37	2.87	1.90	4.77	0.83	6.30
sink		*	3.43	0.10	1.78	0.14	0.13	0.00	0.00	0.11		0.24	5.21	5.45	0.13	0.11	0.24	1.88	3.82
skip		3	0.20	0.97	0.17	1.37	1.97	0.40	0.90	0.77		2.33	0.37	2.70	2.87	1.17	4.03	2.43	4.30
sleep		2	0.63	0.75	1.63	0.22	0.88	1.19	0.97	0.75		0.97	2.25	3.22	1.84	1.94	3.78	4.53	2.47
slide		*	0.78	0.08	0.34	0.21	2.57	0.64	1.25	1.57		0.29	1.12	1.40	3.82	2.22	6.03	2.32	5.12
slip		1	1.83	0.10	1.43	0.00	1.03	0.37	1.10	0.40		0.10	3.27	3.37	2.13	0.77	2.90	3.00	3.27
slope		add	0.75	0.08	0.58	0.33	2.50	1.50	1.50	1.00		0.42	1.33	1.75	4.00	2.50	6.50	3.67	4.58
slump		add	2.67	0.08	3.17	0.08	0.17	0.75	0.83	0.17		0.17	5.83	6.00	1.00	0.92	1.92	4.83	3.08
smash		2	3.34	0.00	0.00	1.03	1.47	0.13	0.09	0.97		1.03	3.34	4.38	1.56	1.09	2.66	0.22	6.81
smile		3	0.13	2.07	0.13	1.43	0.90	0.20	0.33	0.33		3.50	0.27	3.77	1.23	0.53	1.77	2.73	2.80
snatch		1	1.00	0.43	0.03	0.80	1.83	0.83	0.40	1.50		1.23	1.03	2.27	2.23	2.33	4.57	1.70	5.13
sneeze		3	0.83	0.17	0.00	0.73	2.90	0.17	0.27	1.57		0.90	0.83	1.73	3.17	1.73	4.90	0.60	6.03
soar		2	0.22	2.94	0.09	2.63	0.69	0.16	0.16	0.25		5.56	0.31	5.88	0.84	0.41	1.25	3.34	3.78
speak		2	0.63	0.53	0.31	1.56	2.34	0.13	0.31	1.09		2.09	0.94	3.03	2.66	1.22	3.88	1.28	5.63
spring		add	0.67	2.33	0.08	2.17	1.17	0.08	0.50	0.42		4.50	0.75	5.25	1.67	0.50	2.17	3.00	4.42
sprout		1	0.27	1.20	0.00	3.37	0.60	0.00	0.10	0.30		4.57	0.27	4.83	0.70	0.30	1.00	1.30	4.53
stack		2	1.41	0.09	0.44	2.63	0.91	0.00	0.16	0.56		2.72	1.84	4.56	1.06	0.56	1.63	0.69	5.50
stagger		1	0.43	0.33	0.83	0.17	1.70	0.93	1.43	0.97		0.50	1.27	1.77	3.13	1.90	5.03	3.53	3.27
stagnate	1	0.67	0.33	1.70	0.00	0.27	1.27	1.17	0.23		0.33	2.37	2.70	1.43	1.50	2.93	4.47	1.17
start		2	0.91	0.31	0.00	1.66	2.75	0.22	0.50	0.97		1.97	0.91	2.88	3.25	1.19	4.44	1.03	6.28
stay		3	0.00	1.60	1.90	0.10	0.00	1.77	1.57	0.20		1.70	1.90	3.60	1.57	1.97	3.53	6.83	0.30
stop		*	0.80	0.85	0.91	0.36	1.14	1.50	1.34	1.25		1.21	1.71	2.92	2.48	2.75	5.23	4.60	3.56
support		2	0.84	0.47	0.44	2.91	1.06	0.00	0.06	0.66		3.38	1.28	4.66	1.13	0.66	1.78	0.97	5.47
surge		2	0.56	1.38	0.25	2.16	1.31	0.16	0.88	0.56		3.53	0.81	4.34	2.19	0.72	2.91	2.66	4.59
survive		2	0.19	1.59	0.78	1.50	0.69	0.13	0.84	0.44		3.09	0.97	4.06	1.53	0.56	2.09	3.34	2.81
swap		1	0.80	0.27	0.33	0.37	2.20	1.07	0.77	1.50		0.63	1.13	1.77	2.97	2.57	5.53	2.43	4.87
sweat		1	1.47	0.40	1.00	1.00	0.93	0.10	0.23	0.37		1.40	2.47	3.87	1.17	0.47	1.63	1.73	3.77
sweep		2	0.84	0.28	0.56	0.31	2.63	0.31	0.75	1.53		0.59	1.41	2.00	3.38	1.84	5.22	1.91	5.31
swell		2	0.63	1.22	0.31	2.13	1.34	0.22	0.72	0.75		3.34	0.94	4.28	2.06	0.97	3.03	2.47	4.84
swim		1	0.57	0.27	0.37	0.83	3.37	0.63	0.83	1.40		1.10	0.93	2.03	4.20	2.03	6.23	2.10	6.17
swing		2	0.47	0.22	1.22	0.94	1.31	0.81	1.00	1.03		1.16	1.69	2.84	2.31	1.84	4.16	3.25	3.75
take		2	1.25	0.94	0.38	0.91	1.47	1.38	1.09	1.00		1.84	1.63	3.47	2.56	2.38	4.94	3.78	4.63
tarnish		2	1.88	0.16	1.44	0.16	0.38	1.00	0.66	0.81		0.31	3.31	3.63	1.03	1.81	2.84	3.25	3.22
tease		3	2.33	0.13	0.00	0.80	2.03	0.30	0.23	1.97		0.93	2.33	3.27	2.27	2.27	4.53	0.67	7.13
tempt		3	0.47	0.87	0.77	0.73	1.03	1.10	1.17	1.17		1.60	1.23	2.83	2.20	2.27	4.47	3.90	3.40
thank		1	0.83	0.10	0.00	0.83	2.83	0.00	0.13	1.87		0.93	0.83	1.77	2.97	1.87	4.83	0.23	6.37
think		3	0.77	0.17	0.20	2.40	1.73	0.40	0.43	0.63		2.57	0.97	3.53	2.17	1.03	3.20	1.20	5.53
thrive		2	0.09	1.91	0.00	2.53	1.13	0.22	0.53	0.34		4.44	0.09	4.53	1.66	0.56	2.22	2.66	4.09
tow		2	0.47	1.28	0.56	0.03	0.44	1.38	2.03	0.88		1.31	1.03	2.34	2.47	2.25	4.72	5.25	1.81
tower		add	1.17	3.42	0.25	2.25	0.33	0.08	0.08	0.17		5.67	1.42	7.08	0.42	0.25	0.67	3.83	3.92
trade		2	1.47	0.00	0.13	0.84	2.94	0.28	0.25	2.09		0.84	1.59	2.44	3.19	2.38	5.56	0.66	7.34
transfer	2	0.94	0.16	0.19	0.63	3.06	0.34	0.28	2.25		0.78	1.13	1.91	3.34	2.59	5.94	0.97	6.88
travel		1	0.97	0.10	0.10	1.10	3.57	0.37	0.53	1.80		1.20	1.07	2.27	4.10	2.17	6.27	1.10	7.43
tremble		1	0.37	0.50	1.57	0.20	0.20	1.33	1.33	0.60		0.70	1.93	2.63	1.53	1.93	3.47	4.73	1.37
trust		2	0.91	0.13	0.00	0.88	2.75	0.63	0.63	1.41		1.00	0.91	1.91	3.38	2.03	5.41	1.38	5.94
try		3	0.90	0.37	0.23	0.67	2.20	0.60	0.53	1.37		1.03	1.13	2.17	2.73	1.97	4.70	1.73	5.13
tug		2	0.44	1.09	1.16	0.38	1.00	1.22	1.56	1.09		1.47	1.59	3.06	2.56	2.31	4.88	5.03	2.91
tumble		2	2.53	0.00	3.09	0.06	0.06	0.25	0.56	0.00		0.06	5.63	5.69	0.63	0.25	0.88	3.91	2.66
tunnel		1	2.53	0.40	0.97	0.70	1.50	0.43	0.60	0.57		1.10	3.50	4.60	2.10	1.00	3.10	2.40	5.30
use		3	1.90	0.67	0.03	0.40	1.57	0.97	0.43	1.20		1.07	1.93	3.00	2.00	2.17	4.17	2.10	5.07
vault		1	1.17	1.10	0.00	1.00	1.10	0.00	0.00	0.67		2.10	1.17	3.27	1.10	0.67	1.77	1.10	3.93
wade		1	0.43	0.27	0.87	0.30	2.10	0.20	0.47	1.30		0.57	1.30	1.87	2.57	1.50	4.07	1.80	4.13
wait		1	0.17	0.73	1.33	0.00	0.37	1.40	1.93	0.07		0.73	1.50	2.23	2.30	1.47	3.77	5.40	0.60
walk		3	1.03	0.07	0.03	0.93	3.45	0.48	1.00	1.93		1.00	1.07	2.07	4.45	2.41	6.86	1.59	7.34
wander		2	0.69	0.09	0.25	0.91	2.72	0.66	0.63	1.97		1.00	0.94	1.94	3.34	2.63	5.97	1.63	6.28
want		1	1.10	0.23	0.23	1.83	2.37	0.37	0.00	1.13		2.07	1.33	3.40	2.37	1.50	3.87	0.83	6.43
warn		1	1.80	0.13	0.00	0.80	1.80	0.10	0.13	2.13		0.93	1.80	2.73	1.93	2.23	4.17	0.37	6.53
wash		3	2.10	0.00	0.13	0.30	2.83	0.00	0.00	1.97		0.30	2.23	2.53	2.83	1.97	4.80	0.13	7.20
watch		3	1.90	0.00	0.00	1.40	3.07	0.13	0.00	1.90		1.40	1.90	3.30	3.07	2.03	5.10	0.13	8.27
welcome		1	0.23	0.97	0.53	0.57	1.77	1.40	0.77	0.67		1.53	0.77	2.30	2.53	2.07	4.60	3.67	3.23
wilt		3	2.17	0.00	1.97	0.00	0.23	0.57	0.43	0.30		0.00	4.13	4.13	0.67	0.87	1.53	2.97	2.70
wither		3	2.37	0.00	2.13	0.40	0.10	0.33	0.33	0.50		0.40	4.50	4.90	0.43	0.83	1.27	2.80	3.37
worry		3	1.50	0.04	0.21	0.57	2.00	0.39	0.36	1.86		0.61	1.71	2.32	2.36	2.25	4.61	1.00	5.93
worship		1	0.27	0.00	0.07	3.67	0.80	0.03	0.00	0.53		3.67	0.33	4.00	0.80	0.57	1.37	0.10	5.27
yank		1	0.63	0.43	1.03	0.17	1.13	1.23	1.20	0.73		0.60	1.67	2.27	2.33	1.97	4.30	3.90	2.67
